Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
151,Alec Pierce,IND,WR,13,D,126,48,77.7,42.0,105.9,12.3,25.6,68.0,0.7,0.0,1.0,4.7,26.0,51.0,5.9,13.5,28657,86312,1107027
152,Rico Dowdle,PIT,RB,9,Q,173,45,77.7,46.2,113.3,3.5,3.4,31.7,0.0,0.3,9.0,10.3,26.0,45.7,50.0,38.9,27854,72297,933480
153,Denzel Boston,CLE,WR,11,,127,49,77.5,21.6,127.4,15.4,5.1,77.0,1.0,0.0,7.0,5.5,93.0,92.5,13.0,10.8,31438,,
154,Bailey Zappe,NYJ,QB,13,,308,37,77.4,9.2,77.4,,,,,,,,,,,,28739,139985,1058090
155,Ryan Flournoy,DAL,WR,14,,130,50,76.7,54.3,107.1,5.8,6.1,37.7,0.0,0.0,6.0,5.7,76.0,78.0,14.3,12.9,29814,,1393832
156,AJ Barner,SEA,TE,11,,125,24,76.6,57.1,90.5,4.0,5.1,12.0,0.3,0.0,2.0,2.3,80.0,76.3,3.6,5.1,29903,,1229503
157,Dontayvion Wicks,PHI,WR,10,,131,51,76.3,45.9,106.7,12.1,4.4,73.5,0.5,0.0,6.0,5.0,62.0,76.5,12.8,10.4,29320,,1172428
158,Romeo Doubs,NE,WR,11,,132,52,75.8,50.3,100.5,5.5,11.1,48.0,0.0,0.5,4.0,3.5,67.0,61.5,10.8,9.2,28734,94370,1122653
159,Michael Pittman,PIT,WR,9,O,134,53,75.6,38.7,100.3,4.7,5.2,34.5,0.0,0.0,,3.5,,88.5,,6.0,27477,,
160,Tua Tagovailoa,ATL,QB,11,O,314,38,75.5,18.5,93.2,,,,,,,,,,,,27448,90572,973947
161,MarShawn Lloyd,GB,RB,11,,177,46,75.2,25.8,125.3,5.7,3.9,31.5,0.5,0.5,8.0,11.0,27.0,35.5,50.0,48.4,29949,,1213414
162,Malik Nabers,NYG,WR,8,Q,136,54,75.1,15.1,105.4,5.2,9.3,35.0,0.0,0.0,4.0,6.5,,52.0,,25.0,29915,,1286059
163,Mack Hollins,NE,WR,11,,137,55,75.0,48.0,112.9,4.9,4.3,34.5,0.0,0.0,2.0,3.5,71.0,70.5,5.1,7.5,4641,25267,702808
164,Terry McLaurin,WAS,WR,7,,138,56,74.9,48.7,108.7,5.4,5.3,40.3,0.0,0.0,9.0,5.7,70.0,75.7,18.0,11.0,27017,56250,836116
165,Michael Penix Jr.,ATL,QB,11,O,321,39,74.8,20.1,109.1,,,,,,,,,,,,29994,,1107478
166,Gunnar Helm,TEN,TE,9,,133,25,73.7,42.0,85.4,3.5,2.5,20.5,0.0,0.0,2.0,3.5,87.0,81.5,4.3,8.8,30415,,1286438
167,Mason Taylor,NYJ,TE,13,Q,135,26,73.6,37.6,86.6,1.0,,-2.0,0.0,0.0,,3.0,46.0,56.0,,6.8,30338,,1381263
168,Alvin Kamara,NO,RB,8,,181,47,72.4,35.1,127.8,4.7,,22.0,0.0,0.0,15.0,15.0,29.0,29.0,75.0,75.0,4681,42104,750846
169,Jonah Coleman,DEN,RB,10,,183,48,72.0,25.0,141.3,6.7,13.3,29.0,0.5,0.0,13.0,6.5,40.0,23.0,52.0,26.0,31875,,
170,Anthony Richardson,IND,QB,13,,340,40,71.6,25.7,87.9,,,,,,,,,,,,29165,,1215022
171,Mike Gesicki,CIN,TE,6,,139,27,70.6,42.9,103.1,9.3,14.0,45.5,0.5,0.0,,4.5,35.0,35.3,,20.5,5039,56265,836152
172,Colby Parkinson,LA,TE,11,,140,28,70.4,31.1,87.6,7.1,16.5,19.0,0.7,0.0,2.0,3.7,,80.5,,7.7,27576,89588,1060312
173,Samaje Perine,CIN,RB,6,,187,49,70.2,40.1,110.3,5.3,4.0,41.3,0.0,0.0,3.0,7.7,40.0,39.0,12.5,31.1,4742,52451,820734
174,Evan Engram,DEN,TE,10,,142,29,69.9,50.2,94.2,6.8,10.1,35.0,0.3,0.0,1.0,3.3,52.0,51.3,3.1,12.0,4679,41872,749185
175,Greg Dulcich,MIA,TE,6,,143,30,69.8,42.7,86.0,3.4,1.9,22.0,0.0,0.0,3.0,3.0,61.0,63.3,8.3,8.9,28683,91931,1128085
176,Devin Singletary,NYG,RB,8,,188,50,69.7,34.1,93.9,7.8,10.9,24.3,0.7,0.0,4.0,7.7,,34.0,,38.8,26978,70603,916466
177,Jake Ferguson,DAL,TE,14,,144,31,69.5,49.1,96.6,7.0,17.3,18.0,0.7,0.0,4.0,2.7,60.0,65.3,12.1,7.6,28731,89680,1065361
178,Isaiah Williams,NYJ,WR,13,,150,57,68.0,33.1,79.0,4.6,6.6,26.3,0.0,0.0,7.0,5.0,82.0,64.7,11.5,14.0,29858,,1176432
179,A.J. Brown,NE,WR,11,,151,58,67.7,7.7,103.9,4.1,,26.0,0.0,0.0,,4.0,,44.0,,12.9,27100,72846,944826
180,Xavier Hutchinson,HOU,WR,8,,152,59,67.4,39.4,93.1,6.9,6.2,51.0,0.0,0.0,9.0,8.0,81.0,72.0,13.8,14.7,29366,,1213636
181,Shedeur Sanders,CLE,QB,11,,376,41,66.4,20.8,105.2,5.0,,137.0,0.0,1.0,,25.0,,100.0,,48.1,30439,,1272321
182,Mitchell Trubisky,TEN,QB,9,,377,42,66.2,18.5,80.5,28.9,,264.0,4.0,0.0,,34.0,,99.0,,45.9,5252,38628,728169
183,Darren Waller,CAR,TE,5,,148,32,66.1,55.6,84.6,10.3,13.0,30.5,1.0,0.0,3.0,2.5,44.0,39.5,10.3,9.3,3925,25011,600191
184,Elic Ayomanor,TEN,WR,9,,156,60,65.5,33.6,91.2,7.3,1.4,43.3,0.3,0.0,3.0,5.3,53.0,66.3,10.7,13.9,30431,,1395319
185,Demarcus Robinson,SF,WR,8,O,161,61,64.3,42.4,94.6,6.9,8.1,36.0,0.3,0.0,3.0,3.3,31.0,60.7,18.8,12.3,4292,38264,727279
186,Jordan Addison,MIN,WR,6,,162,62,64.3,21.2,94.6,1.5,3.1,9.7,0.0,0.0,5.0,3.3,88.0,88.0,10.9,6.5,29184,,1214250
187,Tre Harris,LAC,WR,7,,164,63,64.0,29.1,89.8,4.4,2.3,33.7,0.0,0.0,3.0,5.0,82.0,84.7,5.4,9.6,30351,,1214633
188,KC Concepcion,CLE,WR,11,,165,64,63.1,12.6,103.9,5.8,0.0,40.0,0.0,0.5,7.0,7.5,66.0,67.5,18.4,20.6,31922,,
189,Ty Johnson,BUF,RB,7,O,204,51,62.6,29.1,68.5,18.6,,56.0,2.0,0.0,,15.0,,33.0,,60.0,27172,63050,877784
190,Joe Flacco,CIN,QB,6,,407,43,62.6,21.5,122.0,0.2,,2.0,0.0,0.0,,1.0,,0.5,,100.0,166,6714,216342
191,Terrance Ferguson,LA,TE,11,,154,33,62.2,21.0,84.9,7.2,14.4,27.0,0.5,0.0,9.0,5.0,,51.0,,3.2,30342,,1286179
192,Stetson Bennett,LA,QB,11,,409,44,62.0,7.7,160.6,1.4,,22.0,0.0,0.0,,4.0,,16.0,,40.0,29289,,1069763
193,Brian Thomas Jr.,JAX,WR,7,,167,65,61.8,38.6,91.6,5.8,0.9,43.0,0.0,0.3,8.0,5.3,54.0,48.7,25.0,18.1,30002,,1286064
194,Davis Mills,HOU,QB,8,,412,45,61.8,21.8,63.5,2.6,,48.0,0.0,0.0,,10.0,,35.0,,41.7,28072,89628,1060311
195,Tyler Huntley,BAL,QB,13,,414,46,61.7,21.5,65.1,,,,,,,,,,,,27951,70051,913163
196,Keenan Allen,IND,WR,13,,169,66,61.6,39.2,86.4,4.8,6.1,24.3,0.0,0.0,5.0,8.0,51.0,57.3,15.2,22.0,3149,29253,557210
197,Cooper Kupp,SEA,WR,11,,171,67,60.8,33.6,82.3,3.8,1.5,28.0,0.0,0.0,2.0,2.7,43.0,66.0,6.7,6.7,4647,79970,698227
198,J.J. McCarthy,MIN,QB,6,,425,47,60.7,19.5,90.5,8.0,,189.0,0.0,0.0,,25.0,,64.0,,58.1,29996,,1287599
199,Cooper Rush,ATL,QB,11,,428,48,60.4,17.0,73.2,2.9,5.7,124.5,0.5,2.5,19.0,20.5,58.0,79.0,47.5,42.1,4830,44715,694117
200,Dawson Knox,BUF,TE,7,,158,34,60.3,37.1,77.8,6.0,8.2,12.0,0.7,0.0,2.0,1.7,76.0,49.3,3.6,18.7,26982,64585,884083
201,Kendrick Bourne,ARI,WR,14,,174,68,60.0,25.6,82.3,4.5,11.5,28.7,0.0,0.0,3.0,4.0,60.0,59.7,10.0,10.2,4832,80289,754412
202,Mason Rudolph,PIT,QB,9,,436,49,59.8,11.6,126.6,0.3,,3.0,0.0,0.0,2.0,2.0,4.0,4.0,66.7,66.7,5073,53729,823220
203,Tyson Bagent,CHI,QB,10,Q,437,50,59.8,5.5,85.3,2.2,,54.0,0.0,0.0,9.0,9.0,14.0,14.0,90.0,90.0,29602,,1444140
204,Tyrod Taylor,GB,QB,11,,439,51,59.5,22.4,78.0,,,,,,,,,,,,2554,14377,399579
205,Jake Haener,NYG,QB,8,,442,52,59.4,7.6,77.8,,,,,,,,,,,,29288,,1049254
206,Caleb Douglas,MIA,WR,6,Q,176,69,58.9,9.4,105.8,7.4,9.0,56.5,0.0,0.0,3.0,5.0,86.0,88.5,5.9,9.8,31898,,
207,Kaelon Black,SF,RB,8,Q,213,52,58.5,14.5,111.8,5.0,5.0,47.5,0.0,0.0,7.0,11.0,33.0,38.0,41.2,47.4,31453,,
208,Hendon Hooker,TEN,QB,9,,454,53,57.6,0.8,93.4,,,,,,,,,,,,29229,,976966
209,Sam Howell,DAL,QB,14,,457,54,57.5,3.1,98.0,,,,,,,,,,,,28746,104576,1168245
210,Sam Ehlinger,DEN,QB,10,,458,55,57.3,13.9,95.5,,,,,,,,,,,,28223,92560,975829
211,Marvin Harrison Jr.,ARI,WR,14,,179,70,57.0,31.6,89.9,1.9,3.8,16.5,0.0,0.0,1.0,2.0,74.0,76.5,2.7,3.9,29992,,
212,Quinn Ewers,JAX,QB,7,,460,56,56.9,27.5,56.9,8.4,,146.0,1.0,1.0,,24.0,,95.0,,45.3,30525,,1333868
213,Chig Okonkwo,WAS,TE,7,O,168,35,56.8,48.2,75.7,1.9,1.4,9.0,0.0,0.0,,4.0,,68.0,,9.7,28745,88297,1106374
214,Sean Clifford,CIN,QB,6,,463,57,56.6,0.0,152.1,,,,,,,,,,,,29310,,1067089
215,Antonio Williams,WAS,WR,7,,182,71,56.5,11.1,99.6,9.2,10.5,44.0,0.5,0.0,4.0,4.0,49.0,43.0,11.4,13.4,31441,,
216,Keon Coleman,BUF,WR,7,,184,72,56.0,31.3,84.0,5.3,8.7,37.7,0.0,0.0,6.0,3.7,74.0,68.3,10.9,7.0,30008,,1322431
217,Pat Bryant,DEN,WR,10,,185,73,55.7,28.7,84.1,4.3,4.6,29.7,0.0,0.0,2.0,4.3,66.0,63.7,4.9,12.6,30370,,1305866
218,Max Brosmer,MIN,QB,6,,471,58,55.7,13.7,69.5,0.3,,57.0,0.0,1.0,,8.0,,36.0,,33.3,30672,,
219,Kayshon Boutte,HOU,WR,8,,186,74,55.3,30.1,86.5,3.7,2.6,27.3,0.0,0.0,5.0,3.7,72.0,58.7,8.6,8.7,29348,,1213362
220,Skylar Thompson,BAL,QB,13,,477,59,55.1,4.0,64.4,,,,,,,,,,,,28848,69294,913829
221,Riley Leonard,IND,QB,13,,479,60,55.0,23.4,55.0,22.9,,288.0,3.0,2.0,,37.0,,100.0,,56.9,30483,,1290165
222,Kyler Murray,MIN,QB,6,O,481,61,54.8,18.5,69.5,0.0,,27.0,0.0,1.0,,7.0,,17.0,,63.6,27161,63484,879799
223,Tanner McKee,PHI,QB,10,,482,62,54.8,23.9,54.8,11.9,,244.0,1.0,1.0,,42.0,,100.0,,65.6,29349,,1123521
224,Tommy DeVito,NE,QB,11,,483,63,54.4,14.1,77.3,,,,,,,,,,,,29640,,1060671
225,Jerry Jeudy,CLE,WR,11,,190,75,54.0,20.5,71.6,2.3,3.6,16.0,0.0,0.0,1.0,4.0,59.0,70.0,2.9,10.2,27458,90561,973935
226,Chris Brooks,GB,RB,11,,221,53,53.8,30.3,78.9,4.0,3.2,38.7,0.0,0.0,6.0,9.0,46.0,49.0,22.2,33.3,29600,,
227,Jonathon Brooks,CAR,RB,5,D,223,54,53.2,19.4,99.6,4.4,4.6,36.5,0.0,0.0,6.0,6.0,30.0,24.5,30.0,38.1,29927,,1326601
228,Jack Bech,LVR,WR,13,,192,76,53.1,22.7,77.3,4.4,9.8,16.0,0.3,0.3,2.0,2.7,54.0,50.7,5.9,8.8,30354,,1286046
229,Rashid Shaheed,SEA,WR,11,,193,77,52.9,23.3,76.0,2.3,4.7,15.0,0.0,0.0,7.0,3.7,56.0,56.7,17.9,10.0,29028,170287,923412
230,Tyrone Tracy Jr.,NYG,RB,8,,227,55,52.9,29.0,89.6,8.0,23.9,57.7,0.3,0.7,0.0,9.7,,36.0,,76.0,29917,,1109708
231,Tyquan Thornton,KC,WR,5,,194,78,52.8,29.1,80.4,5.3,10.6,43.0,0.0,0.0,4.0,2.5,59.0,63.5,8.5,5.3,28654,89220,1110301
232,Brady Cook,MIA,QB,6,,496,64,52.7,24.3,52.7,9.1,,67.0,1.0,0.0,,25.0,,100.0,,52.1,30715,,
233,Josh Johnson,CIN,QB,6,,503,65,52.0,28.7,55.0,15.7,,176.0,2.0,2.0,,31.0,,100.0,,44.9,1289,8023,273278
234,Joe Milton III,DAL,QB,14,,504,66,52.0,14.1,57.0,5.2,,116.0,0.0,1.0,,17.0,,49.0,,63.0,29986,,1112338
235,Kyle Juszczyk,SF,RB,8,,229,56,51.8,27.0,73.6,5.3,8.7,16.0,0.5,0.0,2.0,2.0,44.0,46.7,8.7,9.6,2986,39428,501150
236,Kenny Pickett,CAR,QB,5,,505,67,51.7,2.9,136.5,0.8,2.4,10.7,0.0,0.3,1.0,2.7,6.0,11.3,25.0,33.0,28624,92020,976924
237,Jaylin Noel,HOU,WR,8,,195,79,51.6,18.9,69.2,4.3,4.5,36.7,0.0,0.0,6.0,3.0,60.0,35.3,12.5,10.0,30375,,1286370
238,Josh Palmer,BUF,WR,7,,197,80,51.5,26.9,87.4,7.1,10.2,26.0,0.7,0.0,3.0,2.7,38.0,51.0,10.7,8.9,28082,,
239,Roman Wilson,PIT,WR,9,,198,81,51.2,24.9,77.5,4.7,1.2,27.0,0.0,0.0,6.0,6.0,79.0,67.0,10.9,13.6,29981,,1229669
240,Dillon Gabriel,CLE,QB,11,,510,68,51.2,15.5,51.2,,,,,,,,,,,,30389,,1165333
241,Mac Jones,SF,QB,8,,513,69,50.9,10.1,138.5,0.0,,-2.0,0.0,0.0,2.0,2.0,15.0,15.0,25.0,25.0,28020,90584,973945
242,Spencer Rattler,NO,QB,8,,514,70,50.9,17.0,81.7,,,,,,,,,,,,29789,,1174752
243,Isaac TeSlaa,DET,WR,6,,199,82,50.8,24.1,77.9,2.0,3.6,14.7,0.0,0.0,5.0,2.3,75.0,67.7,10.2,4.8,30366,,1441362
244,Oronde Gadsden II,LAC,TE,7,,180,36,50.6,34.8,71.6,5.4,5.5,24.3,0.3,0.0,2.0,2.0,44.0,36.0,6.7,10.9,30460,,
245,Jordan Mason,MIN,RB,6,,232,57,50.6,8.2,50.6,10.7,2.5,76.5,0.5,0.0,,14.5,,42.5,,51.8,28927,86875,1116001
246,Jalen Nailor,LVR,WR,13,,200,83,50.4,23.2,76.0,4.0,5.0,28.3,0.0,0.0,3.0,3.7,60.0,65.0,7.9,8.7,28792,92859,1126817
247,Josh Cameron,JAX,WR,7,,201,84,50.2,3.6,92.8,4.5,9.0,10.0,0.5,0.0,0.0,1.0,17.0,25.0,0.0,5.2,31501,,
248,Emmett Johnson,KC,RB,5,,234,58,50.2,16.0,98.9,6.2,3.3,51.5,0.0,0.0,4.0,7.0,18.0,27.0,28.6,34.3,31419,,
249,Jameis Winston,NYG,QB,8,,525,71,50.0,20.1,96.7,2.5,,112.0,0.0,1.0,29.0,29.0,,,,,3869,24849,691536
250,Will Shipley,PHI,RB,10,,236,59,49.3,22.9,72.1,2.6,2.2,18.0,0.0,0.0,9.0,5.3,51.0,36.7,23.1,22.8,29748,,1287636
251,Keaton Mitchell,LAC,RB,7,,237,60,48.8,18.1,70.9,1.8,4.2,16.7,0.0,0.0,6.0,4.0,25.0,23.3,35.3,29.1,29460,,1222789
252,Audric Estimé,NO,RB,8,,238,61,48.8,17.4,75.7,13.1,,106.0,0.0,0.0,,26.0,,84.0,,45.6,29880,,1321291
253,Andy Dalton,PHI,QB,10,,537,72,48.8,12.0,53.5,,,,,,,,,,,,2239,14225,322858
254,Devin Neal,NO,RB,8,,240,62,48.6,9.2,55.8,,,,,,,,,,,,30478,,1293066
255,Darnell Mooney,NYG,WR,8,,206,85,48.3,7.8,72.9,4.3,2.3,31.7,0.0,0.0,3.0,4.0,,70.0,,9.3,27615,69777,912027
256,Joshua Dobbs,DET,QB,6,,543,73,48.3,12.3,56.0,0.9,,23.0,0.0,0.0,,7.0,,24.0,,50.0,5273,40407,741262
257,David Njoku,LAC,TE,7,O,189,37,47.7,21.5,74.9,4.9,6.9,33.5,0.0,0.0,3.0,4.0,16.0,35.5,27.3,22.0,4601,55335,832098
258,Jaylen Wright,MIA,RB,6,Q,243,63,47.6,11.6,65.8,1.4,3.0,16.7,0.0,0.7,2.0,6.0,5.0,19.3,66.7,49.8,30046,,1286513
259,Calvin Ridley,TEN,WR,9,,210,86,47.5,24.9,93.9,4.5,,35.0,0.0,0.0,2.0,2.0,62.0,63.0,6.1,6.1,5024,64555,884013
260,Justice Hill,BAL,RB,13,,250,64,46.9,24.3,84.6,3.0,0.5,23.0,0.0,0.0,4.0,5.5,47.0,46.5,14.8,18.7,26945,71521,923109
261,Xavier Legette,CAR,WR,5,,212,87,46.3,20.2,77.4,3.7,7.4,28.7,0.0,0.0,4.0,3.3,50.0,44.7,12.1,14.2,29930,,1180321
262,Jauan Jennings,MIN,WR,6,O,215,88,46.0,10.5,52.5,2.8,5.5,17.5,0.0,0.0,,3.5,,68.0,,9.7,27659,61593,867009
263,Case Keenum,CHI,QB,10,,574,74,46.0,7.0,59.0,,,,,,,,,,,,3269,22994,338280
264,Braelon Allen,NYJ,RB,13,,253,65,45.5,14.1,80.7,6.0,4.0,27.5,0.5,0.0,6.0,8.5,31.0,35.5,26.1,33.4,29888,,1325231
265,DeMario Douglas,NE,WR,11,,216,89,45.0,13.9,63.7,3.3,3.1,19.3,0.0,0.0,2.0,4.0,47.0,44.7,7.7,14.5,29371,,1175693
266,Bam Knight,ARI,RB,14,,255,66,45.0,11.8,103.3,2.4,,24.0,0.0,0.0,2.0,2.0,6.0,5.0,66.7,66.7,29041,103252,1163866
267,Aidan O'Connell,LVR,QB,13,O,583,75,44.8,17.0,63.7,4.8,,109.0,0.0,0.0,,23.0,,82.0,,45.1,29296,,1066811
268,Shane Buechele,BUF,QB,7,,584,76,44.7,16.4,44.7,3.9,,92.0,0.0,0.0,,15.0,,45.0,,51.7,28524,69833,911619
269,Cole Kmet,CHI,TE,10,,196,38,44.5,32.9,64.2,4.4,10.5,17.0,0.3,0.0,1.0,2.3,69.0,71.7,2.0,5.0,27486,91047,1066765
270,Jalen McMillan,TB,WR,10,Q,218,90,44.5,15.8,65.6,1.6,,11.0,0.0,0.0,,1.0,11.0,33.0,,2.7,30036,,1213726
271,Kaleb Johnson,GB,RB,11,,262,67,43.8,10.0,88.2,1.6,3.2,16.0,0.0,0.5,8.0,4.0,27.0,13.5,50.0,50.0,30379,,
272,Nick Mullens,JAX,QB,7,,598,77,43.6,3.9,70.2,0.3,0.6,5.5,0.0,0.0,,4.0,,15.0,,44.2,26258,41562,748309
273,Kyle Allen,BUF,QB,7,,599,78,43.6,7.0,51.1,,,,,,,,,,,,26564,53095,822350
274,Jared Wayne,HOU,WR,8,,219,91,43.1,9.0,70.8,3.0,2.6,22.5,0.0,0.0,7.0,4.0,50.0,41.0,17.5,10.8,29488,,1176733
275,Carnell Tate,TEN,WR,9,,220,92,43.0,8.4,75.1,5.0,1.6,32.5,0.0,0.0,5.0,5.5,75.0,81.5,12.5,13.1,31819,,
276,Jaleel McLaughlin,CLE,RB,11,,266,68,43.0,12.2,59.8,3.3,6.0,30.5,0.0,0.0,2.0,5.0,14.0,18.0,25.0,43.2,29604,,1271738
277,Jonnu Smith,GB,TE,11,,202,39,42.8,22.6,57.5,3.5,5.1,27.0,0.0,0.0,,3.0,22.0,37.7,,9.2,4631,48116,743749
278,Noah Fant,NO,TE,8,,203,40,42.8,19.2,71.5,3.8,11.3,12.7,0.3,0.3,0.0,3.0,44.0,35.7,0.0,9.4,26822,71705,923911
279,Germie Bernard,PIT,WR,9,,222,93,42.5,7.9,85.7,5.5,,35.0,0.0,0.0,8.0,8.0,79.0,41.5,14.5,14.5,31868,,
280,Trey Lance,LAC,QB,7,,607,79,42.5,15.3,53.6,8.3,,205.0,0.0,2.0,,53.0,,100.0,,74.6,28008,149696,1130975
281,Chimere Dike,TEN,WR,9,,224,94,42.2,4.8,54.5,1.8,4.2,11.3,0.0,0.0,0.0,1.7,4.0,28.0,0.0,11.8,30398,,1215102
282,Jayden Reed,GB,WR,11,Q,226,95,42.0,11.5,49.5,2.2,2.6,12.0,0.0,0.0,1.0,4.0,3.0,25.3,50.0,34.0,29211,,1123398
283,Andrei Iosivas,CIN,WR,6,,228,96,41.2,17.3,60.6,1.8,1.0,9.7,0.0,0.0,1.0,2.3,53.0,55.7,3.1,6.4,29367,,1124851
284,Gardner Minshew,ARI,QB,14,,615,80,41.1,11.7,72.3,,,,,,,,,,,,27052,61798,867303
285,Chris Oladokun,KC,QB,5,,616,81,40.9,20.5,51.0,0.0,,58.0,0.0,2.0,,18.0,,55.0,,51.4,28842,73398,947634
286,Jahan Dotson,ATL,WR,11,,231,97,40.7,19.0,80.8,3.3,3.4,23.3,0.0,0.0,4.0,5.0,75.0,77.3,7.7,9.6,28620,86229,1121878
287,Darnell Washington,PIT,TE,9,,207,41,40.6,25.1,54.0,2.0,1.6,12.5,0.0,0.0,2.0,2.0,53.0,58.5,5.4,5.1,29254,,1218658
288,Jarrett Stidham,DEN,QB,10,,617,82,40.5,40.5,83.0,,,,,,,,,,,,26961,60947,865868
289,Austin Hooper,ATL,TE,11,,208,42,40.0,17.0,61.1,2.0,2.0,12.5,0.0,0.0,4.0,2.5,43.0,35.7,13.3,8.8,4158,40126,739424
290,Mike Washington Jr.,LVR,RB,13,,277,69,39.9,4.2,79.4,2.4,3.4,24.0,0.0,0.0,4.0,5.5,19.0,19.0,33.3,43.5,31290,,
291,Tommy Tremble,CAR,TE,5,,209,43,39.7,21.1,54.9,5.4,10.4,22.3,0.3,0.3,2.0,3.7,56.0,67.3,5.4,9.1,28088,91101,1130555
292,Jalen Milroe,SEA,QB,11,,621,83,39.7,10.0,92.2,,,,,,,,,,,,30387,,1290102
293,Zach Wilson,NO,QB,8,,622,84,39.6,16.6,39.6,0.0,,0.0,0.0,0.0,,2.0,,5.0,,66.7,28007,90406,1108052
294,Kenyon Sadiq,NYJ,TE,13,,211,44,39.5,12.8,63.5,6.3,7.2,20.5,0.5,0.0,3.0,3.5,36.0,39.0,11.1,12.7,31433,,
295,Najee Harris,NYG,RB,8,,282,70,39.2,7.2,71.7,0.6,,6.0,0.0,0.0,4.0,4.0,,,,,28029,90575,973964
296,Ray Davis,BUF,RB,7,,283,71,39.2,15.2,55.5,8.2,24.4,59.0,0.3,0.0,0.0,8.0,14.0,29.0,0.0,22.6,30047,,
297,Brashard Smith,KC,RB,5,,285,72,38.9,12.7,74.7,3.4,6.8,29.0,0.0,0.0,0.0,8.0,0.0,17.7,,47.1,30522,,1313668
298,Ryan Miller,MIA,WR,6,,241,98,38.7,17.9,87.5,14.2,,77.0,1.0,0.0,1.0,1.0,12.0,6.0,14.3,14.3,29663,,
299,Kaytron Allen,WAS,RB,7,,289,73,38.5,5.2,76.1,2.0,0.8,20.0,0.0,0.0,5.0,4.5,8.0,9.0,83.3,70.2,31497,,
300,Troy Franklin,DEN,WR,10,,244,99,38.0,14.1,44.0,1.2,3.2,10.7,0.0,0.0,2.0,1.7,21.0,32.0,15.4,10.4,30038,,1286176
301,Chris Moore,BAL,WR,13,,247,100,37.7,9.5,64.9,3.5,4.7,29.5,0.0,0.0,3.0,2.5,55.0,41.7,9.4,8.7,4162,33047,606551
302,Kedon Slovis,GB,QB,11,,623,85,37.7,6.8,37.7,,,,,,,,,,,,29781,,1161818
303,Ameer Abdullah,JAX,RB,7,,296,74,37.5,12.7,53.5,3.0,1.9,23.3,0.0,0.0,4.0,4.0,10.0,10.3,66.7,68.1,3850,27229,590796
304,George Holani,SEA,RB,11,,297,75,37.5,12.2,55.9,2.5,0.9,22.0,0.0,0.0,5.0,7.0,26.0,36.0,27.8,33.5,30166,,1180625
305,Raheim Sanders,CLE,RB,11,,298,76,37.4,13.7,58.2,3.2,2.5,23.3,0.0,0.0,3.0,4.3,19.0,27.0,27.3,30.8,30581,,1285895
306,Laquon Treadwell,IND,WR,13,,252,101,36.9,13.1,58.6,3.8,7.6,30.5,0.0,0.0,3.0,2.0,74.0,39.0,6.2,5.8,4382,41806,748554
307,Josh Oliver,MIN,TE,6,,217,45,36.6,24.5,62.3,3.3,1.0,25.0,0.0,0.0,1.0,2.3,60.0,57.0,3.2,6.4,27056,63907,881779
308,Tez Johnson,TB,WR,10,,257,102,35.8,11.4,52.9,2.7,5.4,22.3,0.0,0.0,4.0,2.7,29.0,21.7,21.1,19.6,30529,,1214837
309,Jahdae Walker,CHI,WR,10,,263,103,35.2,12.6,65.0,8.6,4.0,18.5,1.0,0.0,,2.0,9.0,30.0,,8.9,30601,,1465213
310,Tank Dell,HOU,WR,8,,264,104,35.1,4.2,50.9,,,,,,,,,,,,29230,,1128222
311,Isaiah Davis,NYJ,RB,13,,304,77,35.1,9.4,63.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29889,,1271609
312,Jordan James,SF,RB,8,,305,78,35.1,4.8,79.4,1.5,,15.0,0.0,0.0,4.0,4.0,15.0,7.5,50.0,50.0,30442,,1400657
