Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
421,Xavier Smith,LA,WR,11,,443,147,15.6,1.0,25.1,0.4,1.1,2.0,0.0,0.0,1.0,1.0,,29.5,,4.0,29710,,1137635
422,Barion Brown,NO,WR,8,,447,148,15.4,1.1,30.6,0.1,0.3,1.5,0.0,0.0,0.0,0.5,3.0,5.5,0.0,7.2,31500,,
423,J. Michael Sturdivant,GB,WR,11,,449,149,15.3,1.7,31.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,31359,,
424,Cyrus Allen,KC,WR,5,,451,150,15.2,1.5,26.3,0.0,,0.0,0.0,0.0,,1.0,4.0,2.5,,100.0,31302,,
425,Zavion Thomas,CHI,WR,10,,452,151,15.2,1.7,31.2,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,31452,,
426,Brady Russell,SEA,RB,11,,461,113,15.2,7.9,21.8,3.0,,20.0,0.0,0.0,,2.0,44.0,28.0,,11.8,29633,,1064955
427,Eli Heidenreich,PIT,RB,9,,462,114,15.2,0.5,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,31869,,
428,Brevin Jordan,HOU,TE,8,,313,78,15.1,3.0,17.2,,,,,,,,,,,,28152,94094,1121871
429,Kaden Wetjen,PIT,WR,9,,453,152,15.1,1.5,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,31779,,
430,Luke Schoonmaker,DAL,TE,14,,316,79,14.9,5.4,14.9,1.7,0.0,12.0,0.0,0.0,,1.0,29.0,26.7,,7.0,29219,,1130242
431,Nate Boerkircher,JAX,TE,7,,317,80,14.9,2.4,23.6,1.4,,9.0,0.0,0.0,,1.0,39.0,53.0,,2.6,31881,,
432,Reggie Gilliam,NE,RB,11,,464,115,14.9,3.2,23.2,2.0,2.2,15.0,0.0,0.0,2.0,2.5,36.0,24.7,10.0,15.0,27845,70426,915066
433,Malik Davis,DAL,RB,14,,466,116,14.7,8.0,32.8,,,,,,,,,,,,29032,86047,975028
434,Salvon Ahmed,CHI,RB,10,,470,117,14.2,6.0,19.3,,,,,,,,,,,,27900,86780,1049246
435,Evan Hull,ARI,RB,14,,472,118,14.1,7.0,48.5,1.1,,11.0,0.0,0.0,,2.0,,12.0,,25.0,29337,,1173266
436,Riley Nowakowski,PIT,RB,9,,473,119,14.1,0.5,24.9,0.0,,0.0,0.0,0.0,,0.0,3.0,7.5,,0.0,31780,,
437,Derius Davis,LAC,WR,7,,459,153,14.0,1.8,25.1,0.4,1.2,2.3,0.0,0.0,1.0,1.0,12.0,32.0,12.5,8.2,29286,,1113477
438,Jawhar Jordan,HOU,RB,8,,474,120,13.9,3.1,17.0,0.3,,3.0,0.0,0.0,,5.0,,15.0,,50.0,29900,,1164137
439,Marlin Klein,HOU,TE,8,,325,81,13.8,2.5,18.8,2.1,,16.0,0.0,0.0,,1.0,11.0,11.0,,11.1,31853,,
440,Oscar Delp,NO,TE,8,,326,82,13.7,2.3,24.9,1.3,,8.0,0.0,0.0,1.0,1.0,13.0,13.0,11.1,11.1,31442,,
441,Albert Okwuegbunam,LVR,TE,13,,327,83,13.6,6.4,15.2,,,,,,,,,,,,27561,70859,920077
442,Bo Melton,GB,WR,11,,465,154,13.6,2.3,24.0,0.5,1.5,3.3,0.0,0.0,1.0,1.0,15.0,17.3,11.1,10.4,28830,92606,1068803
443,Kene Nwangwu,NYJ,RB,13,O,476,121,13.6,5.2,21.0,1.8,,18.0,0.0,0.0,,8.0,,33.0,,50.0,28124,73247,946748
444,Drake Dabney,GB,TE,11,,328,84,13.5,2.4,13.5,0.8,,3.0,0.0,0.0,,2.0,,88.0,,4.4,30731,,
445,Michael Burton,CLE,RB,11,,478,122,13.5,2.1,26.7,,,,,,,,17.0,14.5,,,3918,26057,556483
446,Braxton Berrios,NYG,WR,8,,467,155,13.4,1.2,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,,0.0,5206,52495,820866
447,Van Jefferson,WAS,WR,7,,468,156,13.4,5.3,27.5,,,,,,,,,,,,27500,64581,884080
448,Tanner Hudson,CIN,TE,6,,329,85,13.3,6.0,13.3,0.9,,4.0,0.0,0.0,,1.0,,9.0,,16.7,26870,83117,1115394
449,Ricky Pearsall,SF,WR,8,,469,157,13.3,5.4,22.1,,,,,,,,,,,,30007,,1161416
450,Mo Alie-Cox,IND,TE,13,,331,86,12.8,6.1,22.5,3.7,,22.0,0.0,0.0,,4.0,38.0,35.3,,14.8,26065,24533,712506
451,Luke McCaffrey,WAS,WR,7,,475,158,12.8,2.1,17.8,,,,,,,,,,,,29838,,1164846
452,Quintin Morris,JAX,TE,7,,332,87,12.7,3.8,23.4,2.7,7.0,4.0,0.3,0.0,1.0,1.0,22.0,35.7,7.7,5.2,28518,90123,1059680
453,Dareke Young,LVR,WR,13,Q,480,159,12.6,0.1,24.2,1.6,3.2,13.5,0.0,0.0,1.0,0.5,19.0,15.3,8.3,4.2,28834,169834,1384869
454,Carson Steele,PHI,RB,10,,488,123,12.6,4.2,20.2,,,,,,,,,,,,29970,,1319219
455,Colson Yankoff,WAS,TE,7,,334,88,12.4,4.2,16.2,0.9,1.9,7.0,0.0,0.0,1.0,0.5,30.0,17.3,4.8,2.4,30125,,1107232
456,Ja'Tavion Sanders,CAR,TE,5,,335,89,12.3,10.3,18.6,,,,,,,,,,,,29932,,1326628
457,Matthew Hibner,BAL,TE,13,,336,90,12.3,2.2,19.6,1.8,,13.0,0.0,0.0,,1.0,33.0,33.5,,4.3,31291,,
